timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-09-03,82.4700,82.5300,81.7450,82.0700,82.0700,102437585,0.3147
2026-08-28,82.4900,83.5987,82.4500,82.8800,82.5627,137884038,0.0000
2026-08-21,81.7700,83.0600,81.1700,82.0500,81.7358,171743253,0.0000
2026-08-14,82.4000,83.0000,81.8200,82.0400,81.7259,139753010,0.0000
2026-08-07,82.2400,83.1500,82.0100,82.7600,82.4431,223621737,0.3305
2026-07-31,83.7300,84.3400,81.8900,82.2500,81.6070,181398161,0.0000
2026-07-24,84.3100,84.3400,82.9600,83.2500,82.5991,98823710,0.0000
2026-07-17,84.1850,84.8200,83.7900,84.5200,83.8592,103257204,0.0000
2026-07-10,85.4300,85.4800,84.0601,84.4700,83.8096,101643414,0.0000
2026-07-02,87.3550,87.5400,85.3700,85.5100,84.8415,99603657,0.3180
2026-06-26,86.3000,87.7900,85.9700,87.3600,86.3559,139620747,0.0000
2026-06-18,85.9600,87.1750,85.6700,86.7500,85.7529,110963601,0.0000
2026-06-12,85.2300,86.0400,84.6200,85.7700,84.7841,125090157,0.0000
2026-06-05,84.9300,85.8200,84.8000,85.0600,84.0823,104341066,0.3360
2026-05-29,85.3350,85.9600,84.9000,85.7600,84.4423,104656638,0.0000
2026-05-22,83.7000,84.6800,82.7700,84.6800,83.3789,158326707,0.0000
2026-05-15,85.8800,85.9150,83.5900,83.6600,82.3746,147732516,0.0000
2026-05-08,85.3500,86.2900,84.7600,86.0800,84.7574,119959130,0.0000
2026-05-01,86.4890,86.6200,85.3400,85.6100,84.2946,112621671,0.3153
2026-04-24,87.1100,87.1550,86.2400,86.7100,85.0644,91491394,0.0000
2026-04-17,86.4400,87.2400,86.2000,87.0700,85.4175,94051441,0.0000
2026-04-10,86.5000,87.3700,85.9100,86.4900,84.8485,91809282,0.0000
2026-04-02,86.6300,87.1600,86.1507,86.7900,85.1428,148053511,0.3448
2026-03-27,86.1800,86.8800,85.4500,85.6400,83.6802,238812872,0.0000
2026-03-20,87.1750,87.7250,85.7600,85.8300,83.8659,233772080,0.0000
2026-03-13,88.2950,89.3150,86.4700,86.5400,84.5596,248247082,0.0000
2026-03-06,89.9750,89.9900,88.0150,88.4600,86.4357,258291313,0.3006
2026-02-27,89.5500,90.8600,89.5300,90.8200,88.4449,162893369,0.0000
2026-02-20,89.9300,90.1200,88.9300,89.4100,87.0718,146041552,0.0000
2026-02-13,87.2000,89.8100,87.0300,89.7200,87.3737,204216618,0.0000
2026-02-06,87.0200,87.5400,86.4284,87.5400,85.2507,187103135,0.3319
2026-01-30,88.3950,88.4900,87.0800,87.1300,84.5273,202250719,0.0000
2026-01-23,86.6300,88.0284,86.5407,87.9300,85.3034,195462461,0.0000
2026-01-16,87.5000,88.6600,87.4100,87.8000,85.1773,190159286,0.0000
2026-01-09,87.1800,88.0050,86.9000,87.9300,85.3034,194677813,0.0000
2026-01-02,87.9500,88.0703,87.0201,87.0300,84.4303,131737894,0.0000
2025-12-26,87.4150,88.1699,87.0300,87.7400,85.1191,111635933,0.0000
2025-12-19,87.7150,88.3800,87.1700,87.5500,84.9348,171205746,0.3424
2025-12-12,88.1850,88.8300,87.1900,87.3400,84.4009,178424888,0.0000
2025-12-05,88.8450,89.1550,88.0450,88.1700,85.2030,156320435,0.3206
2025-11-28,89.9500,90.6400,89.7801,90.2100,86.8606,142172286,0.0000
2025-11-21,89.0800,89.6700,88.8000,89.5000,86.1769,158239230,0.0000
2025-11-14,89.4900,90.3200,88.8700,88.8700,85.5703,139007094,0.0000
2025-11-07,89.6200,90.0600,88.8800,89.5700,86.2443,173185924,0.3251
2025-10-31,91.3200,92.1750,90.2000,90.2900,86.6238,174046167,0.0000
2025-10-24,91.4600,92.1850,91.1600,91.4700,87.7559,139980906,0.0000
2025-10-17,90.2800,91.4950,89.8600,91.2000,87.4968,169040990,0.0000
2025-10-10,88.7100,90.7200,88.6500,90.6200,86.9404,160948637,0.0000
2025-10-03,89.2900,90.0400,89.0900,89.3800,85.7507,159371881,0.3104
2025-09-26,88.8200,89.4700,88.4600,88.9000,84.9947,140382772,0.0000
2025-09-19,90.1500,91.0400,88.7850,89.0200,85.1094,188963237,0.0000
2025-09-12,89.1700,90.4800,88.9900,89.9500,85.9986,212041646,0.0000
2025-09-05,85.6300,88.6100,85.4800,88.5600,84.6696,211289300,0.3281
2025-08-29,86.7250,87.2600,86.0000,86.6000,82.4797,169306397,0.0000
2025-08-22,86.5000,87.3020,85.9850,87.0500,82.9083,159986355,0.0000
2025-08-15,87.5400,87.8100,86.2500,86.4000,82.2892,161746599,0.0000
2025-08-08,87.9550,88.4500,86.9200,87.2900,83.1369,158410102,0.0000
2025-08-01,85.9900,87.9300,85.8300,87.8200,83.6417,228560209,0.3308
2025-07-25,86.2150,86.7700,85.5100,86.4300,82.0089,158579219,0.0000
2025-07-18,85.5400,85.9100,84.1900,85.2400,80.8798,190462604,0.0000
2025-07-11,86.5400,87.0600,85.4400,85.7900,81.4016,164833878,0.0000
2025-07-03,87.8600,88.4350,86.8500,86.9700,82.5213,158767095,0.3283
2025-06-27,86.9300,88.1600,86.4250,87.3900,82.6121,201617247,0.0000
2025-06-20,86.0800,87.0900,85.4600,86.4900,81.7613,135609085,0.0000
2025-06-13,85.0400,87.2000,85.0350,86.3300,81.6100,180144367,0.0000
2025-06-06,85.2900,86.9300,84.7900,85.3500,80.6836,213231262,0.3195
2025-05-30,85.3500,86.4700,84.9700,86.2800,81.2579,179625872,0.0000
2025-05-23,84.9100,86.1160,83.2950,84.5500,79.6286,270795105,0.0000
2025-05-16,86.3800,86.8900,85.2000,86.3000,81.2767,219373167,0.0000
2025-05-09,87.3450,88.2100,86.6400,87.0500,81.9831,109627936,0.0000
2025-05-02,88.6550,90.2100,87.5400,87.7300,82.6235,146913799,0.3276
2025-04-25,86.6000,89.1050,85.9800,88.8900,83.4079,162682164,0.0000
2025-04-17,87.4000,88.5000,86.8150,87.5300,82.1317,127516031,0.0000
2025-04-11,91.8800,92.1900,85.0000,86.8900,81.5312,503609076,0.0000
2025-04-04,91.2300,94.0900,90.3600,92.8500,87.1236,272374365,0.3256
2025-03-28,90.2000,90.3400,88.6300,90.1400,84.2808,139028644,0.0000
2025-03-21,90.8000,92.2400,90.1200,90.7000,84.8044,146571636,0.0000
2025-03-14,91.0800,91.6300,89.3750,90.1700,84.3089,177814494,0.0000
2025-03-07,91.4100,92.7900,89.7337,90.1100,84.2528,229573178,0.2898
2025-02-28,89.3300,92.4750,89.2600,92.4300,86.1523,211325400,0.0000
2025-02-21,88.5400,89.9300,87.8850,89.6100,83.5238,124839268,0.0000
2025-02-14,89.2640,89.6800,86.8601,89.1500,83.0950,162964123,0.0000
2025-02-07,88.5750,90.1750,87.4800,89.2700,83.2069,206083553,0.3123
2025-01-31,88.1550,88.7050,87.4300,87.7600,81.5107,167633424,0.0000
2025-01-24,87.8900,88.1700,86.5250,87.2200,81.0092,108886395,0.0000
2025-01-17,85.5300,87.4800,84.8900,87.1900,80.9813,185319203,0.0000
2025-01-10,87.0500,87.2300,85.1600,85.4600,79.3745,163695284,0.0000
2025-01-03,87.8300,88.2800,87.1800,87.2900,81.0742,130240433,0.0000
2024-12-27,88.1600,88.2300,86.9800,87.1000,80.8977,102400725,0.0000
2024-12-20,90.5500,90.9850,87.5050,88.3100,82.0216,253276306,0.3510
2024-12-13,93.9900,94.0400,90.0800,90.1500,83.4022,182818799,0.0000
2024-12-06,93.2700,94.8500,92.5400,94.3900,87.3248,163483335,0.3250
2024-11-29,92.2000,93.9900,91.8100,93.9700,86.6363,159328187,0.0000
2024-11-22,89.6600,91.0700,89.4240,90.3900,83.3357,143312489,0.0000
2024-11-15,92.2500,92.2950,89.5100,90.0800,83.0499,256337443,0.0000
2024-11-08,92.2800,92.9000,89.5545,92.4900,85.2718,308606910,0.0000
2024-11-01,92.2700,93.2850,90.8000,90.8400,83.7505,254228470,0.3105
2024-10-25,93.0200,93.0900,91.6601,92.1400,84.6597,176130291,0.0000
2024-10-18,93.0400,95.6200,92.9800,93.8700,86.2492,176191726,0.0000
